series,seriesLabel,wikipediaPage,image,startTime,follower,score,locations,countries,genres,maleCreatorsCount,femaleCreatorsCount,otherCreatorsCount
http://www.wikidata.org/entity/Q4914306,Bingo America,https://en.wikipedia.org/wiki/Bingo_America,,2008,,,,United States of America,,1,0,0
http://www.wikidata.org/entity/Q5757010,High Society,https://en.wikipedia.org/wiki/High_Society_(2010_TV_series),,2010,,,,United States of America,reality television,1,0,0
http://www.wikidata.org/entity/Q2283748,Three Wishes,https://en.wikipedia.org/wiki/Three_Wishes_(American_TV_series),,2005,,,,United States of America,reality television,1,0,0
http://www.wikidata.org/entity/Q7753791,The New Worst Witch,https://en.wikipedia.org/wiki/The_New_Worst_Witch,,2005,,,Lancashire,"United Kingdom, Canada",fantasy television series,1,0,0
http://www.wikidata.org/entity/Q2065658,Strange,https://en.wikipedia.org/wiki/Strange_(TV_series),,2003,,,London,United Kingdom,drama television series,1,0,0
http://www.wikidata.org/entity/Q85739318,A Teacher,https://en.wikipedia.org/wiki/A_Teacher_(miniseries),,2020,,,,United States of America,drama television series,1,2,0
http://www.wikidata.org/entity/Q5248430,Debra!,https://en.wikipedia.org/wiki/Debra!,,2011,,,,Canada,teen sitcom,0,0,0
http://www.wikidata.org/entity/Q7663085,Aquila,https://en.wikipedia.org/wiki/Aquila_(TV_series),,1997,,,,United Kingdom,children's television series,2,0,0
http://www.wikidata.org/entity/Q8213636,Bernard's Watch,https://en.wikipedia.org/wiki/Bernard%27s_Watch,,1997,,,,United Kingdom,drama television series,2,0,0
http://www.wikidata.org/entity/Q1519256,Peep Show,https://en.wikipedia.org/wiki/Peep_Show_(British_TV_series),,2003,,,London,United Kingdom,"LGBT-related television series, sitcom",2,0,0
http://www.wikidata.org/entity/Q11766958,Mamuski,https://en.wikipedia.org/wiki/Mamu%C5%9Bki,,2007,,,,Poland,comedy television program,2,0,0
http://www.wikidata.org/entity/Q24729509,The Great Indoors,https://en.wikipedia.org/wiki/The_Great_Indoors_(TV_series),,2016,3004,,,United States of America,sitcom,2,0,0
http://www.wikidata.org/entity/Q17007751,Mulaney,https://en.wikipedia.org/wiki/Mulaney,,2014,,,New York City,United States of America,"LGBT-related television series, comedy television series",1,0,0
http://www.wikidata.org/entity/Q1660026,Immer Ärger mit Newton,https://en.wikipedia.org/wiki/Ned%27s_Newt,,1997,,,,"Germany, Canada","German television comedy, Familly",1,0,0
http://www.wikidata.org/entity/Q3098056,Get Ed,https://en.wikipedia.org/wiki/Get_Ed,,2005,,,,"United States of America, Canada",science fiction television program,1,0,0
http://www.wikidata.org/entity/Q3284555,Gormenghast,https://en.wikipedia.org/wiki/Gormenghast_(TV_serial),,2000,,,,United Kingdom,,1,0,0
http://www.wikidata.org/entity/Q2395179,Der Jäger – Geld oder Leben,https://en.wikipedia.org/wiki/Kidnap_and_Ransom,,2011,,,,United Kingdom,,1,0,0
http://www.wikidata.org/entity/Q21203479,Unforgotten,https://en.wikipedia.org/wiki/Unforgotten,,2015,20388,,,United Kingdom,crime film,2,0,0
http://www.wikidata.org/entity/Q2926033,Bromwell High,https://en.wikipedia.org/wiki/Bromwell_High,,2005,,,London,United Kingdom,,2,0,0
http://www.wikidata.org/entity/Q64969653,Dune: Die Schwesternschaft,https://en.wikipedia.org/wiki/Dune:_Prophecy,,2024,,,,United States of America,"television series based on a novel, drama television series, action television series, science fiction television program",1,1,0
http://www.wikidata.org/entity/Q112054731,Walker: Independence,https://en.wikipedia.org/wiki/Walker:_Independence,,2022,,,,United States of America,"western television program, drama television series",0,1,0
http://www.wikidata.org/entity/Q332379,Absolut relativ,https://en.wikipedia.org/wiki/It%27s_All_Relative,,2003,,,Massachusetts,United States of America,"American television sitcom, LGBT-related television series, comedy television series",0,1,0
http://www.wikidata.org/entity/Q12711487,The Firm,https://en.wikipedia.org/wiki/The_Firm_(Malaysian_TV_series),,2007,,,,Malaysia,reality television,0,1,0
http://www.wikidata.org/entity/Q7743136,The Jeselnik Offensive,https://en.wikipedia.org/wiki/The_Jeselnik_Offensive,,2013,,,,United States of America,,1,0,0
http://www.wikidata.org/entity/Q7715043,The Aviators,https://en.wikipedia.org/wiki/The_Aviators,,2010,82100,,,Canada,"non-fiction, documentary film",1,0,0
